local_path,action_class,start,end,filename,split
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-a9ffc960.mov,accelerate,0.0,11.0,06d501fd-a9ffc960,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-a9ffc960.mov,steady_speed,12.0,19.0,06d501fd-a9ffc960,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-a9ffc960.mov,decelerate,20.0,22.0,06d501fd-a9ffc960,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-a9ffc960.mov,stop,23.0,36.0,06d501fd-a9ffc960,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-a9ffc960.mov,accelerate,37.0,40.0,06d501fd-a9ffc960,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b0505f-5f564e84.mov,stop,0.0,16.0,01b0505f-5f564e84,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b0505f-5f564e84.mov,accelerate,16.0,20.0,01b0505f-5f564e84,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-fd237e38.mov,accelerate,0.0,20.0,06d501fd-fd237e38,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b4e4b9-e21fe0a3.mov,stop,0.0,12.0,01b4e4b9-e21fe0a3,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b4e4b9-e21fe0a3.mov,accelerate,13.0,18.0,01b4e4b9-e21fe0a3,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b4e4b9-e21fe0a3.mov,decelerate,19.0,27.0,01b4e4b9-e21fe0a3,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b4e4b9-e21fe0a3.mov,steady_speed,28.0,38.0,01b4e4b9-e21fe0a3,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d54ae6-76749641.mov,decelerate,0.0,3.0,06d54ae6-76749641,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d54ae6-76749641.mov,stop,4.0,8.0,06d54ae6-76749641,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d54ae6-76749641.mov,steady_speed,9.0,12.0,06d54ae6-76749641,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d54ae6-76749641.mov,stop,13.0,40.0,06d54ae6-76749641,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b4e4b9-fc7a5264.mov,steady_speed,7.0,10.0,01b4e4b9-fc7a5264,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b4e4b9-fc7a5264.mov,steady_speed,16.0,20.0,01b4e4b9-fc7a5264,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b4e4b9-fc7a5264.mov,stop,21.0,34.0,01b4e4b9-fc7a5264,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b4e4b9-fc7a5264.mov,decelerate,35.0,38.0,01b4e4b9-fc7a5264,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b4e4b9-fc7a5264.mov,steady_speed,39.0,40.0,01b4e4b9-fc7a5264,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d54ae6-bf7ed032.mov,accelerate,0.0,3.0,06d54ae6-bf7ed032,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d54ae6-bf7ed032.mov,steady_speed,3.0,22.0,06d54ae6-bf7ed032,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d54ae6-bf7ed032.mov,decelerate,23.0,27.0,06d54ae6-bf7ed032,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d54ae6-bf7ed032.mov,stop,27.0,40.0,06d54ae6-bf7ed032,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d981bc-01758867.mov,steady_speed,0.0,14.0,06d981bc-01758867,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d981bc-01758867.mov,decelerate,15.0,21.0,06d981bc-01758867,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d981bc-01758867.mov,steady_speed,22.0,28.0,06d981bc-01758867,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d981bc-01758867.mov,accelerate,29.0,40.0,06d981bc-01758867,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c3e19a-fbacb266.mov,steady_speed,0.0,7.0,01c3e19a-fbacb266,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c3e19a-fbacb266.mov,turn_right,7.0,17.0,01c3e19a-fbacb266,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c3e19a-fbacb266.mov,stop,17.0,26.0,01c3e19a-fbacb266,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c3e19a-fbacb266.mov,steady_speed,26.0,32.0,01c3e19a-fbacb266,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c3e19a-fbacb266.mov,decelerate,32.0,40.0,01c3e19a-fbacb266,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06db23de-8789538f.mov,decelerate,9.0,13.0,06db23de-8789538f,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06db23de-8789538f.mov,accelerate,14.0,21.0,06db23de-8789538f,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06db23de-8789538f.mov,decelerate,29.0,34.0,06db23de-8789538f,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06db23de-8789538f.mov,stop,35.0,40.0,06db23de-8789538f,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c6a5ce-7dba0d93.mov,stop,0.0,3.0,01c6a5ce-7dba0d93,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c6a5ce-7dba0d93.mov,accelerate,3.0,9.0,01c6a5ce-7dba0d93,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c6a5ce-7dba0d93.mov,steady_speed,9.0,20.0,01c6a5ce-7dba0d93,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c6a5ce-7dba0d93.mov,decelerate,20.0,22.0,01c6a5ce-7dba0d93,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c6a5ce-7dba0d93.mov,stop,22.0,24.0,01c6a5ce-7dba0d93,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01c6a5ce-7dba0d93.mov,stop,24.0,40.0,01c6a5ce-7dba0d93,train
/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06e4a00e-346390c8.mov,steady_speed,0.0,3.0,06e4a00e-346390c8,train
