Input.Video,action_text,action_class,start,end,filename,local_path
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d501fd-a9ffc960.mov,The car accelerates,accelerate,0.0,11.0,06d501fd-a9ffc960.mov,/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-a9ffc960.mov
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d501fd-a9ffc960.mov,The car is moving at a steady speed,steady_speed,12.0,19.0,06d501fd-a9ffc960.mov,/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-a9ffc960.mov
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d501fd-a9ffc960.mov,The car slows slightly,decelerate,20.0,22.0,06d501fd-a9ffc960.mov,/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-a9ffc960.mov
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d501fd-a9ffc960.mov,The car stops,stop,23.0,36.0,06d501fd-a9ffc960.mov,/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-a9ffc960.mov
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d501fd-a9ffc960.mov,The car accelerates,accelerate,37.0,40.0,06d501fd-a9ffc960.mov,/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-a9ffc960.mov
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01b0505f-5f564e84.mov,The car is stopped.,stop,0.0,16.0,01b0505f-5f564e84.mov,/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b0505f-5f564e84.mov
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/01b0505f-5f564e84.mov,The car is accelerating through the intersection.,accelerate,16.0,20.0,01b0505f-5f564e84.mov,/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_00/bdd100k/videos/train/01b0505f-5f564e84.mov
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d501fd-fd237e38.mov,The car accelerates slowly to a maintained speed,accelerate,0.0,20.0,06d501fd-fd237e38.mov,/data/nxtaimraid02/datasets/BDD100K/videos/unzipped_files/train/bdd100k_videos_train_02/bdd100k/videos/train/06d501fd-fd237e38.mov
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d54ae6-26a3446e.mov,The car is driving forward,steady_speed,0.0,6.0,06d54ae6-26a3446e.mov,
https://s3-us-west-2.amazonaws.com/sq8geewpqu/samples-1k/06d54ae6-26a3446e.mov,The car merges into the lane to its left,switch_lane,7.0,9.0,06d54ae6-26a3446e.mov,
